title,field
  대한민국 청년의 날,0
  대한민국 청년의 날 플래시몹 자 ,0
 MenP 전공멘토링  멘토,0
 경기도자원봉사센터 자원봉사 아이디어 ,0
 대한민국 청년의 날 사회자 ,0
 우미희망재단X굿네이버스 우미드림파인더 꿈매니저 봉사자 ,0
 은평대전 전공박람회상담 멘토 ,0
SNS소셜펀딩 초록우산 프렌즈 ,0
광주청년주간 청년강연대회 Young Voice,0
교육기부단,0
교육청 캠페인 다행복,0
군산새만금컨벤션센터GSCO,0
나눔의 삶을 설계할 당신,0
대구치맥페스티벌 치맥프렌즈,0
대신야학 교사,0
대한민국  청년의 날,0
맞춤형 진로설계 컨설팅,0
부산 메디 ,0
삼성서울병원 소담누리 도담도담봉사단,0
서울시 흡연예방 홍보단 ,0
세이브더칠드런 영세이버,0
예비초기창업팀을 위한 사업계획서 멘토링,0
장학회 꿈 job기,0
제일 트렌디한 z세대 커뮤니티 제트워크,0
진로설계 ,0
청년 아카데미 퍼스널브랜딩,0
청년의 날,0
청년의 날 섭외팀,0
청년의 날 의전팀,0
현직자와 함께하는 직무멘토링,0
행복한 중기씨 24기 중소기업  ,0
CIEE 연세대학교 년 하반기 CIEE 서울메이트 ,0
서라벌중학교 23학년도  스터디 멘토링 ,0
대한상공회의소 엑스포  3기 ,0
야학 검정고시 교육봉사  서울샛별학교,0
시흥갯골축제 청년 자원활동가 갯골키퍼를  ,0
 대한민국  청년의 날 체험평가단 ,0
홈플러스e파란재단과 함께하는 배움 플러스 멘토링  멘토 ,0
년 국립공원 청년학교 참여자 추가 ,0
분당서현청소년수련관 청소년운영위원회W 하반기 신규위원 ,0
 천원의 아침밥  4기 ,0
건강한취준 나만의 갓생커리어를 시작하고 싶은 순두부 멘탈 모여라,0
서초구 청소년 놀이문화 축제 YOLO LAND 자원 봉사 활동가 ,0
교육 봉사 작은사랑 태청야학에서 함께 활동할 교사를 하고 ,0
 종로축제  누비라 5기 연장  안내,0
국내 최초 실무 기획 스펙 올인원 청년챔프단 145기 ,0
용산청소년센터  designart 하반기 신입부원 ,0
 MenP 전공멘토링 제4기  멘토 ,0
축제현장을 함께할 기획자를 꿈꾸는 1986 PLAYER 3기 ,0
년 KRX  봉사단 해피누리 13기 ,0
 진로멘토단 꿈나르샤 ,0
  청년의 날 1일  대,0
  대한민국 청년의 날 기획홍보단 2차 대,0
 청소년 고민나눔 멘토링 힐링톡톡  2기 ,0
년 스마로그 멘토링  멘토 추가 ,0
동대문엽기떡볶이 홍보대사 엽포터즈 6기 ,0
청춘강연단 청춘어람 13기 신입멘토 ,0
년 하반기 한끼  712,0
자립준비 청소년들의 진로 멘토가 될 로드 투 자립 교육봉사단 ,0
CJ CGV Campus Crew 1기 ,0
청소년전용공간 반반한 옥탑방 행사 자원활동가 ,0
 중랑구 1934청년시대 사업 동아리 취업의 달인 2회차,0
 노들섬  노드리 하반기 공고,0
광명시민 유튜브 기자단을 627716,0
교육봉사사회봉사성 이냐시오 학교에서 함께할 선생님을 ,0
 경기문화재단 문화시민기자단 5기 ,0
한국산업인력공단 월드잡플러스  10기 ,0
학년도 푸른등대 NH농협은행  재능봉사 캠프,0
마포구X서대문구  MSG 전공설명회  멘토 ,0
 코리아타임스  홍보대사 제3기 ,0
푸른어머니학교 자원교사  722,0
  우정사회봉사단 포커스온POCUS溫 4기 ,0
